Node,Party,Modularity Class,Degree,Left Percentage,Right Percentage,Middle Percentage,Neutral Percentage
5704,middle,16,2,1.0,0.0,0.0,0.0
4507,left,16,1,0.0,0.0,1.0,0.0
5057,left,16,1,0.0,0.0,1.0,0.0
4351,left,7,1,1.0,0.0,0.0,0.0
1604,left,7,3,1.0,0.0,0.0,0.0
5705,left,24,1,1.0,0.0,0.0,0.0
5697,left,24,1,1.0,0.0,0.0,0.0
2406,left,25,1,1.0,0.0,0.0,0.0
175,left,25,1,1.0,0.0,0.0,0.0
292,left,0,1,1.0,0.0,0.0,0.0
112,left,0,41,0.9512195121951219,0.0,0.04878048780487805,0.0
5706,left,26,1,1.0,0.0,0.0,0.0
3323,left,26,1,1.0,0.0,0.0,0.0
747,left,1,2,1.0,0.0,0.0,0.0
2515,left,1,3,1.0,0.0,0.0,0.0
5555,middle,17,2,0.0,0.5,0.5,0.0
5554,right,17,1,0.0,0.0,1.0,0.0
406,middle,17,1,0.0,0.0,1.0,0.0
5707,left,18,1,0.0,1.0,0.0,0.0
3481,right,18,2,1.0,0.0,0.0,0.0
2086,right,12,1,0.0,1.0,0.0,0.0
1049,right,12,3,0.0,1.0,0.0,0.0
3482,left,6,1,1.0,0.0,0.0,0.0
2289,left,6,14,0.9285714285714286,0.07142857142857142,0.0,0.0
1833,left,19,1,1.0,0.0,0.0,0.0
1636,left,19,2,0.5,0.5,0.0,0.0
905,left,0,1,1.0,0.0,0.0,0.0
94,left,0,1,1.0,0.0,0.0,0.0
683,left,6,3,1.0,0.0,0.0,0.0
26,left,6,2,1.0,0.0,0.0,0.0
987,left,0,1,1.0,0.0,0.0,0.0
840,right,12,1,0.0,1.0,0.0,0.0
2080,right,12,2,0.0,1.0,0.0,0.0
2385,left,0,1,1.0,0.0,0.0,0.0
3386,left,0,1,1.0,0.0,0.0,0.0
27,left,1,2,0.5,0.0,0.5,0.0
2075,left,1,2,1.0,0.0,0.0,0.0
3420,left,20,2,1.0,0.0,0.0,0.0
3028,left,20,1,1.0,0.0,0.0,0.0
773,left,14,3,1.0,0.0,0.0,0.0
2743,left,14,1,1.0,0.0,0.0,0.0
5708,left,18,1,0.0,1.0,0.0,0.0
2648,left,20,1,1.0,0.0,0.0,0.0
4894,left,14,1,1.0,0.0,0.0,0.0
625,left,14,2,0.5,0.0,0.0,0.5
3398,left,21,1,1.0,0.0,0.0,0.0
953,left,21,2,1.0,0.0,0.0,0.0
28,middle,4,11,0.7272727272727273,0.09090909090909091,0.09090909090909091,0.09090909090909091
813,right,4,8,0.625,0.0,0.125,0.25
181,right,4,2,0.0,0.5,0.5,0.0
182,middle,2,16,0.125,0.25,0.625,0.0
14,right,4,7,0.42857142857142855,0.5714285714285714,0.0,0.0
969,left,6,1,1.0,0.0,0.0,0.0
183,right,4,2,0.0,0.5,0.5,0.0
202,left,0,1,1.0,0.0,0.0,0.0
1668,left,1,2,1.0,0.0,0.0,0.0
5258,right,6,1,1.0,0.0,0.0,0.0
5709,left,5,1,1.0,0.0,0.0,0.0
2201,left,5,17,0.8823529411764706,0.0,0.0,0.11764705882352941
5710,right,27,1,0.0,1.0,0.0,0.0
2279,right,27,1,0.0,1.0,0.0,0.0
20,left,2,3,0.0,0.6666666666666666,0.3333333333333333,0.0
361,right,2,4,0.25,0.0,0.75,0.0
109,left,28,1,1.0,0.0,0.0,0.0
5711,left,28,1,1.0,0.0,0.0,0.0
437,left,0,1,1.0,0.0,0.0,0.0
145,middle,1,1,1.0,0.0,0.0,0.0
5712,left,0,1,1.0,0.0,0.0,0.0
5713,left,0,1,1.0,0.0,0.0,0.0
90,left,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
155,left,4,2,0.0,0.5,0.5,0.0
5022,left,9,1,0.0,0.0,0.0,1.0
225,neutral,9,4,1.0,0.0,0.0,0.0
339,left,9,1,0.0,0.0,0.0,1.0
4126,left,4,3,0.0,0.6666666666666666,0.3333333333333333,0.0
1002,left,0,1,1.0,0.0,0.0,0.0
1712,left,29,1,1.0,0.0,0.0,0.0
752,left,29,1,1.0,0.0,0.0,0.0
537,neutral,4,2,0.0,0.5,0.5,0.0
2132,left,0,1,1.0,0.0,0.0,0.0
5714,left,0,1,1.0,0.0,0.0,0.0
4095,left,0,1,1.0,0.0,0.0,0.0
35,left,6,2,1.0,0.0,0.0,0.0
5652,left,9,4,0.25,0.0,0.5,0.25
641,middle,9,2,0.5,0.5,0.0,0.0
2200,neutral,5,1,1.0,0.0,0.0,0.0
1451,neutral,14,1,1.0,0.0,0.0,0.0
5146,left,9,1,0.0,0.0,0.0,1.0
4121,left,7,1,1.0,0.0,0.0,0.0
5715,left,7,9,1.0,0.0,0.0,0.0
1337,middle,9,1,1.0,0.0,0.0,0.0
2802,left,7,1,1.0,0.0,0.0,0.0
29,right,2,4,0.25,0.25,0.5,0.0
542,middle,2,1,0.0,0.0,1.0,0.0
375,middle,2,4,0.0,0.5,0.5,0.0
2988,right,39,0,0.0,0.0,0.0,0.0
5658,middle,0,1,1.0,0.0,0.0,0.0
597,middle,2,1,0.0,0.0,1.0,0.0
1352,left,7,1,1.0,0.0,0.0,0.0
755,left,2,1,0.0,0.0,1.0,0.0
5384,middle,2,1,0.0,0.0,1.0,0.0
5386,middle,2,1,0.0,0.0,1.0,0.0
2647,left,7,1,1.0,0.0,0.0,0.0
410,right,2,1,0.0,1.0,0.0,0.0
2542,left,7,1,1.0,0.0,0.0,0.0
3033,left,7,1,1.0,0.0,0.0,0.0
3511,right,2,2,0.0,0.5,0.5,0.0
2885,right,2,5,0.2,0.0,0.8,0.0
354,middle,2,1,0.0,1.0,0.0,0.0
673,left,3,2,0.5,0.5,0.0,0.0
495,middle,2,1,0.0,0.0,1.0,0.0
420,left,6,1,1.0,0.0,0.0,0.0
757,right,2,1,0.0,0.0,1.0,0.0
650,left,1,2,0.5,0.5,0.0,0.0
1043,right,1,3,1.0,0.0,0.0,0.0
942,left,8,9,0.75,0.25,0.0,0.0
3259,left,8,2,0.5,0.0,0.5,0.0
2962,right,8,1,1.0,0.0,0.0,0.0
5634,left,8,3,1.0,0.0,0.0,0.0
2459,left,8,1,1.0,0.0,0.0,0.0
3970,right,8,1,1.0,0.0,0.0,0.0
1707,left,8,1,1.0,0.0,0.0,0.0
216,left,1,3,0.6666666666666666,0.3333333333333333,0.0,0.0
5717,left,0,1,1.0,0.0,0.0,0.0
2085,left,7,1,1.0,0.0,0.0,0.0
588,left,7,2,1.0,0.0,0.0,0.0
241,left,10,6,0.8333333333333334,0.0,0.16666666666666666,0.0
310,left,9,1,1.0,0.0,0.0,0.0
888,left,7,1,1.0,0.0,0.0,0.0
2012,left,10,3,0.6666666666666666,0.0,0.0,0.3333333333333333
5718,left,0,1,1.0,0.0,0.0,0.0
5433,middle,10,1,1.0,0.0,0.0,0.0
1639,left,0,1,1.0,0.0,0.0,0.0
357,left,0,2,1.0,0.0,0.0,0.0
3144,left,10,1,1.0,0.0,0.0,0.0
5465,left,10,1,1.0,0.0,0.0,0.0
22,left,2,1,0.0,1.0,0.0,0.0
5719,left,6,3,1.0,0.0,0.0,0.0
2536,left,6,3,1.0,0.0,0.0,0.0
1603,left,6,9,0.875,0.125,0.0,0.0
709,middle,2,2,0.0,0.5,0.5,0.0
751,left,0,1,1.0,0.0,0.0,0.0
1323,left,10,1,1.0,0.0,0.0,0.0
506,middle,2,3,0.0,0.3333333333333333,0.6666666666666666,0.0
266,left,0,1,1.0,0.0,0.0,0.0
5720,left,4,2,0.0,0.5,0.5,0.0
415,left,0,1,1.0,0.0,0.0,0.0
2510,middle,22,1,1.0,0.0,0.0,0.0
5721,left,22,2,0.0,0.0,0.5,0.5
5306,middle,2,1,0.0,0.0,1.0,0.0
5722,left,0,1,1.0,0.0,0.0,0.0
3109,left,40,0,0.0,0.0,0.0,0.0
5724,middle,0,1,1.0,0.0,0.0,0.0
4886,left,0,1,1.0,0.0,0.0,0.0
5725,left,0,1,1.0,0.0,0.0,0.0
2060,left,5,1,1.0,0.0,0.0,0.0
3957,left,5,1,1.0,0.0,0.0,0.0
540,left,4,2,0.0,0.5,0.5,0.0
1905,left,5,1,1.0,0.0,0.0,0.0
1991,left,21,1,1.0,0.0,0.0,0.0
1066,left,0,1,1.0,0.0,0.0,0.0
940,middle,2,1,0.0,0.0,1.0,0.0
2890,left,0,1,1.0,0.0,0.0,0.0
228,left,0,1,1.0,0.0,0.0,0.0
5726,left,0,1,1.0,0.0,0.0,0.0
5727,neutral,22,1,1.0,0.0,0.0,0.0
4920,left,0,1,1.0,0.0,0.0,0.0
3463,right,13,1,0.0,1.0,0.0,0.0
862,right,13,5,0.6,0.4,0.0,0.0
1,left,5,1,1.0,0.0,0.0,0.0
2264,left,5,1,1.0,0.0,0.0,0.0
98,left,5,1,1.0,0.0,0.0,0.0
3019,right,30,1,0.0,0.0,1.0,0.0
5728,middle,30,1,0.0,1.0,0.0,0.0
2148,left,13,1,0.0,1.0,0.0,0.0
1018,left,13,1,0.0,1.0,0.0,0.0
1410,left,5,1,1.0,0.0,0.0,0.0
86,left,5,1,1.0,0.0,0.0,0.0
5729,neutral,10,1,1.0,0.0,0.0,0.0
4305,left,5,1,1.0,0.0,0.0,0.0
1305,left,0,1,1.0,0.0,0.0,0.0
5730,left,4,1,0.0,0.0,1.0,0.0
255,left,4,2,0.0,0.5,0.5,0.0
3246,left,5,1,1.0,0.0,0.0,0.0
5731,left,5,1,1.0,0.0,0.0,0.0
3933,left,0,1,1.0,0.0,0.0,0.0
1062,left,0,1,1.0,0.0,0.0,0.0
5732,left,5,1,1.0,0.0,0.0,0.0
5733,left,0,1,1.0,0.0,0.0,0.0
1416,neutral,4,1,0.0,1.0,0.0,0.0
1373,neutral,5,1,1.0,0.0,0.0,0.0
847,left,8,3,1.0,0.0,0.0,0.0
5569,left,8,5,1.0,0.0,0.0,0.0
142,left,8,2,1.0,0.0,0.0,0.0
2004,left,4,1,0.0,1.0,0.0,0.0
3599,left,11,1,1.0,0.0,0.0,0.0
742,left,11,3,1.0,0.0,0.0,0.0
891,middle,2,2,0.0,0.5,0.5,0.0
982,left,6,5,1.0,0.0,0.0,0.0
5734,left,6,1,1.0,0.0,0.0,0.0
1681,left,0,1,1.0,0.0,0.0,0.0
527,left,5,1,1.0,0.0,0.0,0.0
271,left,4,1,0.0,1.0,0.0,0.0
75,left,11,3,0.0,0.6666666666666666,0.3333333333333333,0.0
1925,right,11,2,1.0,0.0,0.0,0.0
887,middle,11,1,1.0,0.0,0.0,0.0
580,right,11,1,1.0,0.0,0.0,0.0
147,left,31,1,0.0,0.0,0.0,1.0
695,neutral,31,1,1.0,0.0,0.0,0.0
